id,name,description,votes,sortorder
9850,Jeffrey Nape, politician acting Governor-General (2004 2010),0,9999
9851,Steve Owens," politician, Ontario MPP (1990–1995)",0,9999
9852,Pehin Dato Haji Sulaiman Bin Haji Awang Damit, army general,0,9999
9853,Howard Raiffa, academic,0,9999
9854,Jacques Rouffio, film director and screenwriter,0,9999
9855,Gerald Sherratt," university administrator, President of Southern Utah University (1982–1997)",0,9999
9856,Vladimir Troyepolsky, television executive,0,9999
9857,Yuzhan," calligrapher and imperial prince, Prince Gong (1936–1945)",0,9999
9858,Norman Abbott," television director (Leave It to Beaver, Welcome Back, Kotter, The Jack Benny Program)",0,9999
9859,Ron Allbright, football player (Calgary Stampeders),0,9999
9860,Johnny Barnes, entertainer,0,9999
9861,Víctor Barrio, matador,0,9999
9862,Lothar Dräger, comic writer,0,9999
9863,Hasan Basri Durin," politician, Minister of Agrarian Affairs (1998–1999), Governor of West Sumatra (1987–1997), Mayor of Padang (1971–1983)",0,9999
9864,Erny Brenner, footballer,0,9999
9865,Judy Canty, Olympic long jumper (1948),0,9999
9866,Geneviève Castrée, musician and comic book artist,0,9999
9867,Bill Guilfoile," public relations executive (Baseball Hall of Fame, New York Yankees, Pittsburgh Pirates)",0,9999
9868,Vaughn Harper, radio DJ,0,9999
9869,Kalle Havulinna, ice hockey player (Ilves),0,9999
9870,Gladys Hooper," supercentenarian, nation's oldest living person",0,9999
9871,Frank Johnson," footballer (Port Melbourne, South Melbourne)",0,9999
9872,Hugo Niebeling, filmmaker (Alvorada),0,9999
9873,Maralin Niska, soprano,0,9999
9874,Silvano Piovanelli," Roman Catholic cardinal, Archbishop of Florence (1983–2001)",0,9999
9875,Sydney Schanberg," journalist (The New York Times), winner of the Pulitzer Prize for International Reporting (1976)",0,9999
9876,Fritzi Schwingl," slalom and sprint canoeist, world champion (1949, 1951, 1953), Olympic bronze medalist (1948)",0,9999
9877,Ray Spencer," footballer (Darlington, Torquay United)",0,9999
9878,Carole Switala, singer and voice actress (Mister Roger's Neighbourhood),0,9999
9879,Matt Villines, director (Saturday Night Live),0,9999
9880,Robert E. Cooper Sr.," judge, member of the Tennessee Supreme Court (1974–1990) and Court of Appeals (1960–1974)",0,9999
9881,Amal Dutta, football player and manager,0,9999
9882,John Drysdale," diplomat, historian, and writer, founder of the Africa Research Bulletin",0,9999
9883,Katharina Focke, politician,0,9999
9884,Anatoli Isayev," football player and manager, Olympic champion (1956)",0,9999
9885,Fida Hassnain, historian,0,9999
9886,Alfred G. Knudson, geneticist,0,9999
9887,Atilla Manizade, opera singer,0,9999
9888,Adrian Monger," rower, Olympic bronze medalist (1956)",0,9999
9889,Kem Ley, political analyst,0,9999
9890,Mark Ouma, sports journalist,0,9999
9891,James Pazhayattil," Syro-Malabar Catholic hierarch, Bishop of Irinjalakuda (1978–2010)",0,9999
9892,David Stride, footballer (Chelsea),0,9999
9893,Harry Wade, Olympic basketball player (1952),0,9999
9894,Ed Ware, district attorney,0,9999
9895,Ye Xuanning, politician,0,9999
9896,John Brademas," politician and educator, member of the U.S. House of Representatives for Indiana's 3rd district (1959–1981), President of NYU (1981–1991)",0,9999
9897,Edmond L. Browning," Episcopal bishop, 24th Presiding Bishop of the Episcopal Church (1985–1997)",0,9999
9898,Emma Cohen, actress (The Glass Ceiling Voyage to Nowhere The Grandfather),0,9999
9899,Elaine Fantham, classicist,0,9999
9900,Corrado Farina," film director, screenwriter and novelist (Baba Yaga)",0,9999
9901,Minerva Herrera, folk singer,0,9999
9902,Jim Metzen, politician member (since 1987) and President (2003–2011) of the Minnesota Senate and House of Representatives (1975–1987),0,9999
9903,Robert Mason Pollock," screenwriter (Dynasty, The Colbys)",0,9999
9904,Sir Frederick Smith," barrister and politician, Attorney-General of Barbados (1966–1971)",0,9999
9905,Kurt Svensson," footballer, World Cup bronze medalist (1950)",0,9999
9906,Jusztin Nándor Takács," Roman Catholic prelate, Bishop of Székesfehérvár (1991–2003)",0,9999
9907,Scott Olin Wright," judge, member of the U.S. District Court for Western Missouri (since 1979)",0,9999
9908,Lorenzo Amurri, author,0,9999
9909,Joseph Antic," field hockey player, Olympic silver medalist (1960)",0,9999
9910,Galina Chesnokova," Soviet-era volleyball player (national team), European champion (1963)",0,9999
9911,Seamon Glass," actor (This Is Not a Test, Deliverance, Perry Mason)",0,9999
9912,Goran Hadžić, politician President of Krajina (1992–1994),0,9999
9913,Peter Johnson, rugby union player,0,9999
9914,Karen Karnes, ceramist,0,9999
9915,Kenny Kramm, pharmacist founded FLAVORx,0,9999
9916,Alvera Mickelsen," academic and Christian woman's advocate, co-founder of Christians for Biblical Equality",0,9999
9917,Agha Nasir, broadcaster,0,9999
9918,Kyosen Ōhashi, television host and politician,0,9999
9919,Antonín Rükl, astronomer,0,9999
9920,Paul Wühr, author (Das falsche Buch),0,9999
9921,George Allen, footballer (Birmingham City),0,9999
9922,Héctor Babenco, film director producer and screenwriter (Kiss of the Spider Woman Ironweed Carandiru),0,9999
9923,Marion Campbell," football player and coach (Philadelphia Eagles, Atlanta Falcons)",0,9999
9924,Jim Carmichael, politician,0,9999
9925,Garry N. Drummond," coal executive, Chairman and CEO of Drummond Company",0,9999
9926,Robert Fano, computer scientist,0,9999
9927,Hollis L. Harris," airline executive, CEO of Continental Airlines (1990–1991) and Air Canada (1992–1996), President of Delta Airlines (1987–1990)",0,9999
9928,Claude Le Ber, racing cyclist,0,9999
9929,El Lebrijano, flamenco singer,0,9999
9930,Hafsa Mossi, politician Minister of Regional Integration member of the East African Legislative Assembly (since 2012),0,9999
9931,William Norris III," jurist, judge of the Louisiana Court of Appeal for the Second Circuit (1981–2002)",0,9999
9932,Celso Peçanha," politician, Governor of Rio de Janeiro (1961–1962)",0,9999
9933,Bernardo Provenzano, criminal head of the Corleonesi Mafia faction,0,9999
9934,Jack Riley, ice hockey player and executive (Pittsburgh Penguins),0,9999
9935,Jack Rogers, Presbyterian minister and theologian,0,9999
9936,Carolyn See, author,0,9999
9937,Zygmunt Zimowski, Roman Catholic prelate Bishop of Radom (2002–2009) President of the PCPCHCW (since 2009),0,9999
9938,Helena Benitez," politician and educator, Senator (1967–1972)",0,9999
9939,Eric Bergren, screenwriter (The Elephant Man Frances),0,9999
9940,Roger Chanoine, football player (St. Louis Rams Cleveland Browns Jacksonville Jaguars),0,9999
9941,George Ramsay Cook, historian,0,9999
9942,Michael J. Elliott, journalist and magazine editor (Time Newsweek The Economist),0,9999
9943,Péter Esterházy, author,0,9999
9944,Neil Ferguson, rules footballer,0,9999
9945,Lisa Gaye," actress, singer and dancer (Rock Around the Clock, Drums Across the River)",0,9999
9946,Miguel Gutiérrez, writer,0,9999
9947,Mohamed Lahouaiej-Bouhlel, jihadist perpetrator of 2016 Nice attack,0,9999
9948,Tor Lian," sports official, president of the Norwegian Handball Federation (1985–1999)",0,9999
9949,Atilio López, football player and coach,0,9999
9950,Troy Mader, politician member of the Wyoming House of Representatives (2014–2015),0,9999
9951,Sharon Runner, politician member of the California State Assembly (2002–2008) and Senate (2011–2012 2015–2016),0,9999
9952,Donald Stewart," judge, chairman of the National Crime Authority",0,9999
9953,Mike Strahler," baseball player (Los Angeles Dodgers, Detroit Tigers)",0,9999
9954,Athanasius Atule Usuh," Roman Catholic prelate, Bishop of Makurdi (1989–2015)",0,9999
9955,Hallard White, rugby union player (Auckland national team),0,9999
9956,Helen Bailey, author,0,9999
9957,Frank Barnett," politician, Governor of American Samoa (1976–1977)",0,9999
9958,Janez Bernik, painter,0,9999
9959,Karl E. Case, economist and academic developed Case–Shiller index model,0,9999
9960,Charles Davis, jazz saxophonist,0,9999
9961,Howard Dawson, judge,0,9999
9962,Roger Fletcher, mathematician,0,9999
9963,Duncan M. Gray Jr.," Episcopalian prelate, Bishop of Mississippi (1974–1993)",0,9999
9964,Liu Yingming, mathematician educator and an academician of the Chinese Academy of Sciences,0,9999
9965,Danny Nettey, musician and songwriter,0,9999
9966,Jérôme Owono-Mimboe," Roman Catholic prelate, Bishop of Obala (1987–2009)",0,9999
9967,V.F. Perkins, film critic,0,9999
9968,Roland Prince, jazz guitarist,0,9999
9969,Susan Renouf, socialite,0,9999
9970,Billy Marshall Stoneking," poet, playwright, and filmmaker",0,9999
9971,Sir Charles Soutar, air marshal,0,9999
9972,Petru Soltan," mathematician and politician, MP (1990–1994)",0,9999
9973,"Peregrine Eliot, 10th Earl of St Germans", aristocrat and festival founder,0,9999
9974,Charles Utete," academic, politician and presidential adviser",0,9999
9975,Bonnie Brown, country singer (The Browns),0,9999
9976,Robert-Ralph Carmichael, artist and designer (Loonie),0,9999
9977,Francis M. Gibbons, biographer and religious leader (LDS Church),0,9999
9978,Pete Kapusta, ice hockey player (Providence Reds),0,9999
9979,MA Mannan, politician and neurologist,0,9999
9980,Gordon Massa, baseball player (Chicago Cubs),0,9999
9981,Robert Burren Morgan," politician, member of the U.S. Senate for North Carolina (1975–1981), N.C. Senate (1955–1969) and Attorney General (1969–1974)",0,9999
9982,Carlos Nine," illustrator, comics artist and screenwriter",0,9999
9983,E. C. Pielou, statistical ecologist,0,9999
9984,Hugo Rietveld, crystallographer,0,9999
9985,Zalman Shapiro," chemist, a developer of the Nautilus nuclear-powered submarine",0,9999
9986,Oleg Syrokvashko, football player and coach (Dinamo Brest),0,9999
9987,Nate Thurmond, Hall of Fame basketball player (Golden State Warriors Chicago Bulls Cleveland Cavaliers),0,9999
9988,Kasam Bapu Tirmizi," politician, Gujarat MLA for Gandhinagar (1980–1990)",0,9999
9989,Thurston Twigg-Smith, businessman and philanthropist,0,9999
9990,Kazimieras Uoka, politician,0,9999
9991,Alan Vega, singer and musician (Suicide),0,9999
9992,Claude Williamson, jazz pianist,0,9999
9993,Wendell Anderson, politician Governor of Minnesota (1971–1976) Senator for Minnesota (1976–1978) Olympic silver medalist in ice hockey (1956),0,9999
9994,Achille Casanova, politician,0,9999
9995,Aníbal José Chávez Frías," politician, Mayor of Sabaneta (since 2004)",0,9999
9996,Mel Durslag, sportswriter,0,9999
9997,Andrzej Grabarczyk, triple jumper,0,9999
9998,Michael Healy, medical statistician,0,9999
9999,Sérgio Henrique Ferreira, scientist,0,9999
10000,Kenneth Earl Hurlburt, politician,0,9999
10001,Paul Johnson," ice hockey player, Olympic gold medalist (1960)",0,9999
10002,Phyllis Ntantala-Jordan, political activist and author,0,9999
10003,James E. Nugent," politician, Texas Railroad Commissioner",0,9999
10004,Gary S. Paxton," record producer (""Monster Mash"") and singer-songwriter (Skip & Flip, The Hollywood Argyles)",0,9999
10005,Raymonde Tillon," politician, MP for Bouches-du-Rhône (1945–1951)",0,9999
10006,Fred Tomlinson," singer (The Two Ronnies, Monty Python's Flying Circus), composer (""The Lumberjack Song"") and critic",0,9999
10007,Manuel G. Batshaw," social worker, founder of Batshaw Youth and Family Centres",0,9999
10008,Mubarak Begum, playback singer,0,9999
10009,Richard Budge, businessman,0,9999
10010,Antony Copley, historian,0,9999
10011,Uri Coronel, sports director (Ajax Amsterdam),0,9999
10012,Medi Dinu, painter,0,9999
10013,Bloeme Evers-Emden," teacher, child psychologist and Holocaust survivor",0,9999
10014,Randolph George, Anglican bishop,0,9999
10015,John Hope, footballer (Sheffield United),0,9999
10016,Agata Karczmarek," Olympic gymnast (1980) and long jumper (1988, 1992, 1996)",0,9999
10017,John Kerr, editor and author (A Most Dangerous Method),0,9999
10018,James Kriel, air force general,0,9999
10019,Heinz Lucas, football player and manager,0,9999
10020,Nikolaus Messmer," Roman Catholic prelate, Apostolic Administrator of Kyrgyzstan (since 2006)",0,9999
10021,Jeffrey Montgomery, LGBT rights activist,0,9999
10022,Aldo Monti, actor,0,9999
10023,Billy Name, photographer (Andy Warhol),0,9999
10024,Dolliver Nelson," jurist, President of the International Tribunal for the Law of the Sea (2002–2005)",0,9999
10025,Matilda Rapaport, alpine free-skier,0,9999
10026,Mladen Stilinović, artist,0,9999
10027,Les Stocker," wildlife expert, founder of Tiggywinkles",0,9999
10028,Abu Wardah, militant leader (Mujahidin Indonesia Timur),0,9999
10029,Bommi Baumann, author and political activist,0,9999
10030,Ray Bell," rugby union player (Otago, national team)",0,9999
10031,Betsy Bloomingdale, socialite and philanthropist,0,9999
10032,Chief Zee, football mascot (Washington Redskins),0,9999
10033,Dimitri, clown,0,9999
10034,Carlos Gorostiza," playwright, theatre director and novelist",0,9999
10035,Carmen Hernández," catechist, co-founder of the Neocatechumenal Way",0,9999
10036,Nev Hewitt," politician, Queensland MP for Mackenzie (1956–1972) and Auburn (1972–1980)",0,9999
10037,Tom McCready, footballer (Wimbledon F.C.),0,9999
10038,Gordon Mowrer," politician, Mayor of Bethlehem, Pennsylvania (1974–1978, 1987)",0,9999
10039,John Pidgeon, broadcaster and writer,0,9999
10040,Anthony D. Smith, historical sociologist,0,9999
10041,Tamás Somló, musician and singer (Omega Locomotiv GT),0,9999
10042,Dominique Arnaud, cyclist,0,9999
10043,Radu Beligan," actor, director and essayist",0,9999
10044,Dick Corballis, English literature academic (Massey University),0,9999
10045,William Gaines, journalist (Chicago Tribune) and academic (University of Illinois) awarded Pulitzer Prize (1976 1988),0,9999
10046,André Isoir, organist,0,9999
10047,James Allen Johnson, army general,0,9999
10048,Walid Juffali, billionaire businessman (E. A. Juffali and Brothers) and diplomat,0,9999
10049,György Kéri," biochemist, Széchenyi Prize winner (2013)",0,9999
10050,Egon Matijevic, chemist,0,9999
10051,Ray Moreton," rugby union player (Southland, Canterbury, national team)",0,9999
10052,Jim Pressdee, cricketer (Glamorgan),0,9999
10053,Mohammed Shahid, field hockey player Olympic champion (1980),0,9999
10054,Pavel Sheremet, journalist,0,9999
10055,Adolph Bachmeier, footballer,0,9999
10056,Milford Burriss, politician,0,9999
10057,Bill Cardille, television host (Chiller Theater Night of the Living Dead Studio Wrestling),0,9999
10058,Chor Yeok Eng," politician, MP for Bukit Timah (1966–1984)",0,9999
10059,Tsering Chungtak, beauty queen Miss Tibet 2006,0,9999
10060,Dick Donnelly, footballer and journalist,0,9999
10061,Bernard Dufour, painter,0,9999
10062,John Garton," Anglican prelate, Bishop of Plymouth (1996–2005)",0,9999
10063,Roger Godement, mathematician,0,9999
10064,Joy Hardon, Olympic fencer (1956),0,9999
10065,William F. Hickey Jr.," politician, member of the Connecticut Senate (1960–1970), mayor of Stamford (1963)",0,9999
10066,Luc Hoffmann," ornithologist and conservationist, co-founder of the World Wildlife Fund",0,9999
10067,Sid Hurst," farmer, chairman of Lincoln College Council (1980–1985)",0,9999
10068,Jen Jacobs, cricketer (national team),0,9999
10069,Meraj Muhammad Khan, politician,0,9999
10070,Amnon Linn," politician, member of the Knesset (1967–1969, 1973–1988)",0,9999
10071,Thomas R. McCarthy, racehorse trainer and owner (General Quarters),0,9999
10072,Iwo Cyprian Pogonowski, writer and inventor,0,9999
10073,Des Rea, boxer,0,9999
10074,Don Soderquist, executive (Walmart),0,9999
10075,Lewie Steinberg, Hall of Fame bassist (Booker T. & the M.G.'s),0,9999
10076,Taylor Terrell, news anchor,0,9999
10077,Molly Turner, news anchor (WPLG),0,9999
10078,Charles Brantley, horse breeder,0,9999
10079,Dave Bald Eagle, Lakota Chief and actor,0,9999
10080,Chen Da," nuclear scientist, educator and academician (Chinese Academy of Sciences)",0,9999
10081,Joe Derrane, accordion player,0,9999
10082,Dominic Duval, free jazz bassist,0,9999
10083,Franca Faldini," writer and actress (Where Is Freedom?, Poverty and Nobility, Man, Beast and Virtue)",0,9999
10084,Ursula Franklin, scientist and academic (University of Toronto),0,9999
10085,Julius Freeman, fighter pilot (Tuskegee Airmen) recipient of the Congressional Gold Medal,0,9999
10086,Sir David Goodall," diplomat, High Commissioner to India (1987–1991)",0,9999
10087,Lee Grant, actress,0,9999
10088,Betty Guy, watercolor artist,0,9999
10089,Viktor Kryzhanivskyi, painter and artist,0,9999
10090,Luo Yinguo, politician,0,9999
10091,Geir Myhre, ice hockey player and coach (national team),0,9999
10092,Evin Nolan, painter,0,9999
10093,Leyla Sayar, actress,0,9999
10094,Norma Levy Shapiro," judge, member of the U.S. District Court for Eastern Pennsylvania (since 1978)",0,9999
10095,Zeke Smith, football player (Auburn Tigers),0,9999
10096,Thomas Sutherland, academic and Islamic jihad hostage,0,9999
10097,Jouko Turkka, theatre director and writer,0,9999
10098,Samane Viyaket, politician,0,9999
10099,Neelabh Ashk,ian Hindi poet,0,9999
10100,Małgorzata Bartyzel," politician, member of the Sejm for Łódź (2005–2007",0,9999
10101,Bill Cotty, politician member of the South Carolina House of Representatives (1994–2008),0,9999
10102,Kantilal Desai, cricketer,0,9999
10103,Carl Falck," businessman, nation's oldest living man",0,9999
10104,Thorbjörn Fälldin," politician, Prime Minister (1976–1978, 1979–1982)",0,9999
10105,Denis Foreman, cricketer (Sussex) and footballer (Brighton & Hove Albion),0,9999
10106,Mari Gilbert, activist,0,9999
10107,Alan Goldberg," jurist, Judge of the Federal Court (1997–2010)",0,9999
10108,Kate Granger, physician and fundraiser,0,9999
10109,Sheilla Lampkin, politician member of the Arkansas House of Representatives (since 2011),0,9999
10110,Mangala Moonesinghe," politician and diplomat, High Commissioner to the UK (2000–2002) and India (1995–2000, 2002–2005)",0,9999
10111,Boy-Boy Mosia," footballer (Juventus, Chelsea, AmaZulu)",0,9999
10112,Joe Napolitano, television director (Quantum Leap The X-Files) and assistant director (The Untouchables Scarface),0,9999
10113,S. H. Raza, artist,0,9999
10114,Jean Ricardou, writer,0,9999
10115,Alina Surmacka Szczesniak,", American food scientist",0,9999
10116,Harold Duane Vietor, judge member of the US District Court for Southern Iowa (1979–2016),0,9999
10117,Peter Wenger, footballer,0,9999
10118,Mangal Bagh, militant leader (Lashkar-e-Islam),0,9999
10119,Tom Clegg, television and film director,0,9999
10120,Alastair Duncan," army officer, Chief of Staff for UNAMSIL (2001), perforated ulcer",0,9999
10121,Håkon Fimland, hurdler and politician,0,9999
10122,Keith Gemmell, musician (Audience Stackridge Pasadena Roof Orchestra),0,9999
10123,Abe Goldberg, executive,0,9999
10124,Marto Gracias, footballer (national team Salgaocar),0,9999
10125,Frank Hodsoll, art historian,0,9999
10126,Ian King, footballer (Leicester City F.C.),0,9999
10127,Jan Kmenta, econometrician,0,9999
10128,Bohuslav Kokotek, Lutheran clergyman and politician,0,9999
10129,Eliza Lawrence," politician, MLA from the Northwest Territories (1983–1987)",0,9999
10130,Steve Nagy," baseball player (Pittsburgh Pirates, Washington Senators)",0,9999
10131,Horacio Olivo, actor and singer,0,9999
10132,Bishnodat Persaud, economist,0,9999
10133,Conrad Prebys, philanthropist,0,9999
10134,Don Roberts, ice hockey coach (Gustavus Adolphus College),0,9999
10135,Chris Costner Sizemore, writer subject of The Three Faces of Eve,0,9999
10136,Parwati Soepangat, Buddhist leader,0,9999
10137,Orest Subtelny, historian,0,9999
10138,Jerzy Bahr, diplomat Ambassador to Russia (2006–2010) and Ukraine (1997–2001) Director of the National Security Bureau (2005),0,9999
10139,Brenda Banks, archivist,0,9999
10140,Allan Barnes, jazz saxophonist (The Blackbyrds),0,9999
10141,Daphne Ceeney," paraplegic athlete, Paralympic champion (1960, 1964)",0,9999
10142,J. Harwood Cochrane," transportation executive, founder of Overnite Transportation",0,9999
10143,Artur Correia, footballer (Benfica Sporting national team),0,9999
10144,Bülent Eken, football player (Galatasaray) and coach (national team),0,9999
10145,Pierre Fauchon," politician, member of the Senate for Loir-et-Cher (1992–2011)",0,9999
10146,Arundhati Ghose, diplomat ambassador to the UN-Geneva South Korea and Egypt,0,9999
10147,Edward Gopsill, army officer,0,9999
10148,Halil İnalcık, historian,0,9999
10149,Dwight Jones," basketball player (Atlanta Hawks, Chicago Bulls, Houston Rockets), Olympic silver medalist (1972)",0,9999
10150,Eric Kuhne, architect,0,9999
10151,Mollie Lowery, advocate for the homeless and mentally ill,0,9999
10152,Slobodan Novak, writer,0,9999
10153,Tom Peterson, retailer and television personality,0,9999
10154,Franklin Van Antwerpen," judge, member of the United States Court of Appeals for the Third Circuit (since 2004)",0,9999
10155,Anne Balfour-Fraser, film producer,0,9999
10156,Charles Bilezikian, retail executive co-founder of Christmas Tree Shops,0,9999
10157,Henry Connor, botanist,0,9999
10158,Denis Dubourdieu, winemaker,0,9999
10159,Roger Ekins, biophysicist,0,9999
10160,Solomon Feferman, philosopher and mathematician,0,9999
10161,John H. Flood," politician, member of the Massachusetts House of Representatives (1981–1991)",0,9999
10162,Jeffrey Grey, military historian,0,9999
10163,Jacques Hamel, Roman Catholic priest,0,9999
10164,C.-H. Hermansson," politician, MP (1963–1985), leader of the Left Party-Communists (1964–1975)",0,9999
10165,David A. Katz, judge member of the US District Court for Northern Ohio (since 1994),0,9999
10166,Mohamed Khan," film director (Ayyam El Sadat, Mr Karate, Before the Summer Crowds)",0,9999
10167,Heinz Kiehl," wrestler, Olympic bronze medalist (1964)",0,9999
10168,Maggie Macdonald, Gaelic singer,0,9999
10169,Per G. Malm, missionary general authority of The Church of Jesus Christ of Latter-day Saints,0,9999
10170,Forrest Mars Jr., billionaire businessman (Mars Incorporated),0,9999
10171,JT McNamara, jockey,0,9999
10172,Jerry Molyneaux, Gaelic games administrator,0,9999
10173,Hiroko Nakamura, classical pianist,0,9999
10174,Sandy Pearlman, record producer and band manager (Blue Öyster Cult The Clash Black Sabbath),0,9999
10175,Pia Pera, novelist (Lo's Diary),0,9999
10176,Sylvia Peters, continuity announcer and actress (BBC TV),0,9999
10177,E. Melvin Porter," politician, member of the Oklahoma Senate (1965–1987)",0,9999
10178,Dave Syrett, footballer (Swindon Mansfield Peterborough),0,9999
10179,Jean Briggs," anthropologist, expert in Inuit studies and language",0,9999
10180,Paco Cano, photojournalist,0,9999
10181,LaVon Crosby," politician, member of the Nebraska Senate (1989–2000)",0,9999
10182,Jack Davis," cartoonist and illustrator (Tales from the Crypt, The Vault of Horror, Georgia Bulldogs), co-founder of Mad",0,9999
10183,Jerry Doyle," talk show host and actor (Babylon 5), founder of EpicTimes",0,9999
10184,Sue Gibson, cinematographer,0,9999
10185,Doug Griffin, baseball player (Boston Red Sox),0,9999
10186,Dominik Hrušovský," Roman Catholic prelate, Auxiliary Bishop of Bratislava-Trnava (1992–1996) and Apostolic Nuncio to Belarus (1996–2001)",0,9999
10187,Piet de Jong," politician and naval officer, Minister of Defence (1963–1967), Prime Minister (1967–1971)",0,9999
10188,James Alan McPherson, writer (Elbow Room) awarded Pulitzer Prize (1978),0,9999
10189,Máximo Mosquera, footballer,0,9999
10190,Milton Murayama, Nisei novelist and playwright,0,9999
10191,Gerard Noel, author and editor (The Catholic Herald),0,9999
10192,Einojuhani Rautavaara, composer,0,9999
10193,Neelamraju Ganga Prasada Rao, geneticist and plant breeder,0,9999
10194,Ford Spinks, politician,0,9999
10195,Richard Thompson, cartoonist (Cul de Sac),0,9999
10196,Pat Upton, singer-songwriter (Spiral Starecase),0,9999
10197,Boualem Bessaïh," politician, Minister of Foreign Affairs (1988–1989)",0,9999
10198,Bob Brown," basketball player (Providence Steamrollers, Denver Nuggets",0,9999
10199,Conrad K. Cyr," federal judge, member of the U.S. Court of Appeals for the First Circuit (1989–1997) and the District Court for the District of Maine (1981–1989)",0,9999
10200,Mahasweta Devi, writer (Hajar Churashir Maa),0,9999
10201,Gnanakoothan, Tamil poet,0,9999
10202,Norman Guthkelch, paediatric neurosurgeon,0,9999
10203,Richard Grant Hiskey, chemist,0,9999
10204,Marianne Ihlen, muse,0,9999
10205,Patrick Jourdain, bridge player and journalist,0,9999
10206,Vladica Kovačević, footballer,0,9999
10207,Lachhu Maharaj, tabla player,0,9999
10208,Monte Nitzkowski, water polo coach,0,9999
10209,Sheikh Hussain Zakiri, Muslim scholar,0,9999
10210,Émile Derlin Zinsou," politician, President (1968–1969)",0,9999
10211,Antonio Armstrong, football player (Miami Dolphins BC Lions),0,9999
10212,Ken Barrie, voice actor (Postman Pat) and singer,0,9999
10213,Doris Benegas, politician leader of the Castilian Left,0,9999
10214,Keith L. Brown," businessman and diplomat, Ambassador to Lesotho (1982–1983) and Denmark (1989–1992)",0,9999
10215,Madhusudan Dhaky, architectural historian,0,9999
10216,Lucille Dumont, singer,0,9999
10217,Zelda Fichandler, stage producer and director (Arena Stage),0,9999
10218,Tommy George, Aboriginal elder,0,9999
10219,Vivean Gray," actress (Neighbours, The Sullivans, Prisoner)",0,9999
10220,Daasebre Gyamenah, musician,0,9999
10221,Anne Hepburn, missionary and teacher,0,9999
10222,Braj Kachru, linguist,0,9999
10223,Yowabu Magada Kawaluuko, politician,0,9999
10224,Patrick Lalor," hurler (Laois) and politician, TD (1961–1981), MEP (1979–1994)",0,9999
10225,Danny Nykoluk, football player (Toronto Argonauts),0,9999
10226,William Bell, writer,0,9999
10227,Alan Brice, baseball player (Chicago White Sox),0,9999
10228,Igor de Rachewiltz, historian of Mongol studies,0,9999
10229,Gloria DeHaven, actress (Summer Stock Mary Hartman Mary Hartman Out to Sea),0,9999
10230,Nigel Gray, record producer (Outlandos d'Amour),0,9999
10231,András Hajnal, mathematician,0,9999
10232,Derek Hatfield, sailor,0,9999
10233,Ignatius Huang Shou-cheng," clandestine Roman Catholic prelate, Bishop of Funing (since 2005)",0,9999
10234,Ed Ross, photographer,0,9999
10235,Dave Schwartz, meteorologist (The Weather Channel),0,9999
10236,Ralph Stewart, football player and coach,0,9999
10237,Ritva Vepsä, actress (Time of Roses),0,9999
10238,Anwar Ali Cheema, politician,0,9999
10239,Chiyonofuji Mitsugu, sumo wrestler,0,9999
10240,"Thomas Danson, Jr.", politician,0,9999
10241,Gwynn ap Gwilym, author,0,9999
10242,Bobbie Heine Miller, tennis player,0,9999
10243,Bill Holdsworth, cricketer (Yorkshire),0,9999
10244,Fazil Iskander, writer,0,9999
10245,Inez Y. Kaiser, public relations expert,0,9999
10246,Mariana Karr," actress (Alborada, Amorcito corazón, Juro Que Te Amo)",0,9999
10247,Penny Lang, folk musician,0,9999
10248,Destin Onka Malonga, football player,0,9999
10249,Peter Martell, football player,0,9999
10250,Mike Mohede, singer,0,9999
10251,Eric Moon, librarian,0,9999
10252,Seymour Papert," mathematician, computer scientist and educator",0,9999
10253,Sylvie Roy," politician, Quebec MNA for Lotbinière and Arthabaska (since 2003), acute hepatits",0,9999
10254,Angelika Schrobsdorff, writer,0,9999
10255,Jean-Claude Wicky, photographer,0,9999
10256,Anne of Romania," royal, queen consort of King Michael",0,9999
10257,Frank Blas, politician Lieutenant Governor (1987–1995),0,9999
10258,Peter Paul Brennan," Old Catholic prelate, Archbishop of New York",0,9999
10259,Oscar Celli Gerbasi," politician, Governor of Carabobo (1985–1989)",0,9999
10260,Dai Dower, flyweight boxer,0,9999
10261,Trayan Dyankov, football player and manager (FC Spartak Varna),0,9999
10262,Andre Hajdu," composer and educator (Tel Aviv University, Bar-Ilan University)",0,9999
10263,Yabezi Kiiza," politician, Prime Minister of Bunyoro (2009–2012)",0,9999
10264,Jonathan D. Krane," film producer (Face/Off, Look Who's Talking, Michael)",0,9999
10265,Harrie Langman," politician, Minister of Economic Affairs (1971–1973)",0,9999
10266,Jim Northrup, Ojibwe writer,0,9999
10267,Raimundo Ongaro, union leader (CGTA),0,9999
10268,Allen K. Ono, army lieutenant general,0,9999
10269,Sir Derek Oulton," civil servant, Permanent Secretary of the Lord Chancellor's Department and Clerk of the Crown in Chancery (1982–1989)",0,9999
10270,George Brigars Williams, actor,0,9999
10271,Terence Bayler," actor (Monty Python's Life of Brian, Time Bandits, Harry Potter and the Philosopher's Stone)",0,9999
10272,Jonathan Borwein, mathematician,0,9999
10273,Tony Chater, newspaper editor and communist activist,0,9999
10274,Forbes Carlile, swimming coach and modern pentathlete,0,9999
10275,Gordon Danby, physicist and inventor,0,9999
10276,John Fox, cricketer,0,9999
