id,name,description,selected_by,sortorder
400,Robert Berner, geologist and geochemist,0,9999
401,Walter Berns, constitutional law and political philosophy professor,0,9999
402,Frans Bolweg, sailor and coach,0,9999
403,Brian Clemens," screenwriter (Dr. Jekyll and Sister Hyde) and television producer (The Avengers, The Professionals)",0,9999
404,Abed Daoudieh," politician, Awqaf and Islamic Affairs Minister (1984)",0,9999
405,George Dickerson," actor (Blue Velvet, Hill Street Blues)",0,9999
406,James R. Dixon, herpetologis,0,9999
407,Tim Drummond," bassist (Bob Dylan, Neil Young)",0,9999
408,Pierre-André Fournier," Roman Catholic prelate, Archbishop of Rimouski (since 2008)",0,9999
409,Elemér Hankiss, sociologist,0,9999
410,Maeve Hillery, physician,0,9999
411,Jim Hogan," Olympic long-distance runner, European champion (1966)",0,9999
412,Harry V. Jaffa, political philosophy professor,0,9999
413,Annis Jensen, roller derby skater,0,9999
414,Frederik H. Kreuger, high voltage scientist,0,9999
415,Junior Malanda, footballer (VfL Wolfsburg national under-21 team),0,9999
416,Marko Marin, theatre director and art historian,0,9999
417,Slobodan Martinović, chess player,0,9999
418,Roger Moyer, politician Mayor of Annapolis Maryland (1965–1973),0,9999
419,Yoko Nagae Ceschina, classical music philanthropist,0,9999
420,Taylor Negron, comedian and actor (Angels in the Outfield Fast Times at Ridgemont High Bio-Dome),0,9999
421,Margit Nünke," fashion model, actress and beauty queen",0,9999
422,Ged Peck, musician,0,9999
423,George Probert, jazz musician and music editor,0,9999
424,Francesco Rosi," film director (The Mattei Affair, Christ Stopped at Eboli, Salvatore Giuliano)",0,9999
425,Francis Simard, revolution activist and criminal,0,9999
426,Hans Stoiber, poet,0,9999
427,Robert Stone, novelist (Dog Soldiers),0,9999
428,Denis Tsygurov," professional ice hockey player (Buffalo Sabres, Los Angeles Kings)",0,9999
429,Inge Vermeulen," field hockey player (national team), European champion (2009)",0,9999
430,Roger Wosahlo, footballer (Peterborough),0,9999
431,Jenő Buzánszky," footballer (Dorogi FC, national team), Olympic champion (1952), last living member of the Golden Team",0,9999
432,Gary Dighton, Olympic cyclist,0,9999
433,Anita Ekberg," actress (La Dolce Vita, Paris Holiday, Back from Eternity)",0,9999
434,Chashi Nazrul Islam, filmmaker (Ora Egaro Jon),0,9999
435,Chic Littlewood," television personality and actor (King Kong, 30 Days of Night)",0,9999
436,Albert McPherson, football player (Walsall) and coach (West Bromwich Albion),0,9999
437,Vernon Benjamin Mountcastle, professor emeritus (Johns Hopkins School of Medicine) and neuroscientist,0,9999
438,Fritz Pott, football player and coach,0,9999
439,Bruno Visintin," boxer, Olympic bronze medalist (1952)",0,9999
440,Ryszard Zub," fencer, Olympic silver (1956, 1960) and bronze (1964) medalist",0,9999
441,John Bayley, literary critic and writer,0,9999
442,Bonnie Christensen, children's book author and illustrator,0,9999
443,Germán Cobos, actor,0,9999
444,Trevor Colbourn," educator and academic, President of the University of Central Florida (1978–1989)",0,9999
445,James Naanman Daman," Roman Catholic prelate, Bishop of Jalingo (2000–2007) and Shendam (since 2007)",0,9999
446,Stephen Gold, computer journalist,0,9999
447,Robert Gover, author,0,9999
448,John Hill, game designer,0,9999
449,Carl Long, baseball player,0,9999
450,William C. Martel, political scientist,0,9999
451,A. J. Masters, singer and songwriter,0,9999
452,Paul Morgan, rugby union and league player,0,9999
453,Elena Obraztsova, mezzo-soprano,0,9999
454,Alex Omes," nightlife impresario, co-founder of Ultra Music Festival",0,9999
455,Gabriel Ramushwana, general Head of State of Venda (1990–1994),0,9999
456,Ed Skinner," politician and attorney, member of the Iowa House of Representatives (1969–1973)",0,9999
457,Darrell Winfield," rancher and model, Marlboro Man (1968–1989)",0,9999
458,Robert Boon," actor (Queen of Blood, Verboten!, The Twilight Zone)",0,9999
459,Tony Ciprian, television sports presenter and producer,0,9999
460,Ralph Faudree, mathematician,0,9999
461,Frank Glazer, pianist and composer,0,9999
462,Sir Jack Hayward," businessman, property developer and philanthropist, president of Wolverhampton Wanderers",0,9999
463,Mark Juddery, author and journalist,0,9999
464,H. Wesley Kenney, television director and producer (General Hospital All in the Family The Young and the Restless),0,9999
465,Mike Marqusee, writer and activist,0,9999
466,Frank Mazzola," film actor and editor (Rebel Without a Cause, Casablanca, The Hunchback of Notre Dame)",0,9999
467,Hara Patnaik, actor and film director,0,9999
468,Ronnie Ronalde, music hall singer and siffleur,0,9999
469,Isabel Rosado, independence activist (Puerto Rican Nationalist Party),0,9999
470,John H. Rubel, defense electronics executive,0,9999
471,Bill Thompson, talent manager,0,9999
472,Jane Wilson, painter,0,9999
473,Keith Wright," politician and convicted child rapist, MP for Capricornia (1984–1993)",0,9999
474,Hillel Zaks, rabbi,0,9999
475,Mordechai Shmuel Ashkenazi, rabbi,0,9999
476,Bob Boyd, basketball coach (USC Trojans),0,9999
477,Jerry Dempsey," politician, member of the Minnesota House of Representatives (1992–2006)",0,9999
478,Bill Dodd, footballer (Burnley F.C.),0,9999
479,Lotte Hass, model and underwater diver,0,9999
480,Val Holten, cricketer,0,9999
481,Danny Malloy," footballer (Cardiff City, Dundee)",0,9999
482,Jerzy Holzer, historian,0,9999
483,Susanto Pudjomartono," newspaper editor and diplomat, second chief editor of The Jakarta Post (1991–2003), Ambassador to Russia (2003–2008)",0,9999
484,Nélida Romero, actress,0,9999
485,Darren Shahlavi," actor (Night at the Museum, Watchmen, Ip Man 2) and martial artist",0,9999
486,Layne Tom Jr., actor (Charlie Chan series),0,9999
487,Warren Weinstein, economist USAID contractor kidnapped by al-Qaeda,0,9999
488,Robert White," diplomat, United States Ambassador to Paraguay (1977–1980) and El Salvador (1980–1981)",0,9999
489,Zhang Wannian, general,0,9999
490,Bai Jinian," politician, party chief of Shaanxi Province",0,9999
491,Jean-Claude Baker, restaurateur,0,9999
492,Ludmila Brožová-Polednová," prosecutor, participated in the show trial of Milada Horáková",0,9999
493,Arnaldo Calveyra, poet and novelist,0,9999
494,Eugene E. Covert, aeronautics engineer,0,9999
495,Ervin Drake," songwriter (""It Was a Very Good Year"" ""I Believe"" ""Good Morning Heartache"")",0,9999
496,Kim Fowley, record producer band manager (The Runaways) impresario and musician,0,9999
497,Alan Hirschfield," film executive, CEO of Columbia Pictures (1973–1978), Chairman of 20th Century Fox (1982–1986)",0,9999
498,Anwarul Iqbal, politician and police chief,0,9999
499,"Archibald Kennedy, 8th Marquess of Ailsa"," peer, hereditary chief of Clan Kennedy",0,9999
500,Ethel Lang," supercentenarian, nation's oldest person (since 2013), last living Briton born during reign of Queen Victoria",0,9999
501,Karel Lichtnégl, football player,0,9999
502,Jean Lindenmann," virologist and immunologist, co-discoverer of interferon",0,9999
503,Rimma Markova, actress,0,9999
504,Ray Nagel," football player (UCLA Bruins) and coach (Utah Utes, Iowa Hawkeyes)",0,9999
505,Chikao Ohtsuka, voice actor (Lupin III Yu-Gi-Oh! One Piece),0,9999
506,Raoul Pantin," journalist, playwright, and screenwriter (Bim), survivor of the Jamaat al Muslimeen coup attempt",0,9999
507,Robert S. Pirie, lawyer,0,9999
508,Ignacio Posada, Olympic fencer,0,9999
509,Harvey Sweetman, World War II pilot,0,9999
510,Rameshwar Thakur," politician, Governor of Odisha (2004–2006), Andhra Pradesh (2006–2007) and Karnataka (2007–2009)",0,9999
511,Walter Westbrook, artist,0,9999
512,Bob Wilson, sportscaster (Boston Bruins),0,9999
513,Joseph Mukasa Zuza, Roman Catholic prelate Bishop of Mzuzu (since 1995),0,9999
514,Miriam Akavia, writer,0,9999
515,Sir Ian Athfield, architect,0,9999
516,Mohamed Olow Barrow, politician,0,9999
517,Andrew Benson, biologist,0,9999
518,Vivaldo Frota," politician, Governor of Amazonas (1990–1991)",0,9999
519,Ted Harrison, painter,0,9999
520,Pedro María Iguaran, footballer (Real Sociedad),0,9999
521,Patrick Journoud, Olympic athlete (1988),0,9999
522,Stuart Loory, journalist and media executive (CNN),0,9999
523,Ray Lumpp," basketball player (New York Knicks), Olympic champion (1948)",0,9999
524,Luis Marsans, painter,0,9999
525,Louis Martin," weightlifter, Olympic silver (1964) and bronze (1960) medallist",0,9999
526,Ghelubhai Nayak, political activist,0,9999
527,Walter Peregoy," animator (The Jungle Book, Sleeping Beauty, Mary Poppins, The Sword in the Stone)",0,9999
528,Tony Ridler, darts player,0,9999
529,Faith Seidenberg, attorney and civil rights activist,0,9999
530,Yao Beina, singer,0,9999
531,Bruno Ballarini, footballer (Calcio Como),0,9999
532,Joseph Brannigan," politician, member of the Maine Senate (2006–2012)",0,9999
533,Ken Furphy, footballer and manager (Watford),0,9999
534,Gobinda Halder, lyricist and composer,0,9999
535,Faten Hamama," actress (The Angel of Mercy, Wajh al-Qamar)",0,9999
536,Don Harron, comedian actor and author (Hee Haw The Big Revue),0,9999
537,Kazumasa Hirai," manga author (8 Man, Genma Taisen, Wolf Guy)",0,9999
538,Fritz C. Holte, economist,0,9999
539,Justin Kili, journalist and media personality,0,9999
540,Rebecca D. Lockhart, politician Speaker of the Utah House of Representatives (since 2011),0,9999
541,Henry Manne, law and economics academic,0,9999
542,Roderick McDonald, basketball player (Utah Stars),0,9999
543,Terence Miller, palaeontologist,0,9999
544,Origa, singer (Ghost in the Shell: Stand Alone Complex),0,9999
545,Mary Evelyn Parker, politician Louisiana State Treasurer (1968–1987),0,9999
546,David E. Paulson," politician, member of the Wisconsin State Assembly for the 28th District (1978–1986)",0,9999
547,Greg Plitt, fitness trainer (Work Out) and actor (Grudge Match Terminator Salvation Bobby),0,9999
548,Bill Sykes, author and chaplain,0,9999
549,Mohammad Ali Allahdadi, army general,0,9999
550,Dorothy Barnes Pelote," politician, member of the Georgia House of Representatives (1993–2003)",0,9999
551,José Carrasco, politician,0,9999
552,Vinay V. Deodhar, mathematician,0,9999
553,Maurice Dumas," politician, MP for Argenteuil—Papineau—Mirabel (1993–2000)",0,9999
554,Cynthia Layne, jazz singer,0,9999
555,Grazia Livi," author and journalist, Viareggio Prize winner",0,9999
556,D. C. McNeil, politician,0,9999
557,Alberto Nisman, prosecutor (AMIA bombing),0,9999
558,Paul O'Grady, politician member of the New South Wales Legislative Council (1988–1996),0,9999
559,Muna Obiekwe, actor,0,9999
560,Pietro Pianta, footballer,0,9999
561,June Randall," script supervisor (The Spy Who Loved Me, A Clockwork Orange, The Shining)",0,9999
562,Piet van der Sanden," politician, member of the House of Representatives (1971–1972, 1973–1989), member of the European Parliament (1973–1974)",0,9999
563,Milt Schoon, basketball player (Sheboygan Red Skins),0,9999
564,Harish Chandra Srivastava, politician,0,9999
565,Yasuaki Taiho, baseball player (Chunichi Dragons Hanshin Tigers),0,9999
566,Dallas Taylor," drummer (Crosby, Stills, Nash & Young)",0,9999
567,Christine Valmy, cosmetologist,0,9999
568,Tony Verna, television producer invented instant replay,0,9999
569,Kjell Arnljot Wig, media personality,0,9999
570,John Bilezikjian, oud musician,0,9999
571,Rose Marie Brown," beauty pageant contestant, Miss Virginia (1939)",0,9999
572,Justin Capră, inventor,0,9999
573,Gordon Dickson, marathon runner,0,9999
574,Adam Yahiye Gadahn, al-Qaeda operative,0,9999
575,Vera Gornostayeva, pianist and piano teacher,0,9999
576,Michel Guimond, politician MP for Montmorency—Charlevoix—Haute-Côte-Nord (1993–2011),0,9999
577,José María Hernández González," Roman Catholic prelate, Bishop of Chilapa (1983–1989) and Netzahualcóyotl (1989–2003)",0,9999
578,Oscar Hayes, gospel musician,0,9999
579,Arthit Kamlang-ek," general, Supreme Commander of the Royal Thai Armed Forces (1983–1986)",0,9999
580,Vladimir Kesarev, footballer (Dynamo Moscow),0,9999
581,Anne Kirkbride, actress (Coronation Street),0,9999
582,Rajni Kothari, political scientist,0,9999
583,Robert Manzon," Formula One driver, last surviving racer from first World Championship",0,9999
584,Mark Marquess, ice hockey player (Boston Bruins),0,9999
585,Reinaldo Oliver," javelin thrower and Olympic athlete (1952, 1956)",0,9999
586,Karl H. Pribram, neuroscientist and educator,0,9999
587,Bob Sadino, businessman,0,9999
588,Ward Swingle," musician (The Swingle Singers, Les Double Six)",0,9999
589,Bob Symes, inventor and television presenter,0,9999
590,Reies Tijerina, Chicano activist,0,9999
591,"Gene S. Walker, Sr.", rancher and businessman,0,9999
592,"Peter Wallenberg, Sr."," financier and industrialist, patriarch of the Wallenberg family",0,9999
593,Canserbero, rapper,0,9999
594,James L. Fowler," military veteran, founded the Marine Corps Marathon",0,9999
595,Edgar Froese, musician (Tangerine Dream),0,9999
596,Melvin Gordon," business executive, CEO of Tootsie Roll Industries (since 1962)",0,9999
597,Lawrence Hogben, meteorologist and naval officer,0,9999
598,Anatol Hrytskievich, historian,0,9999
599,Graeme Hugo, demographer and geographer,0,9999
600,Herman E. Lauhoff," politician, member of the Texas House of Representatives (1974–1981)",0,9999
601,Rose Marie McCoy," songwriter (""It Hurts Me to My Heart"", ""Don't Be Angry"", ""Tryin' to Get to You"", ""It's Gonna Work Out Fine"")",0,9999
602,Gloria D. Miklowitz, author,0,9999
603,Wilfride Piollet, ballerina and choreographer,0,9999
604,Peter Pontiac, cartoonist winner of the Stripschapprijs (1997),0,9999
605,Bette Rogge, radio and television presenter,0,9999
606,William Roffler, football player (Philadelphia Eagles),0,9999
607,Hitoshi Saito, judoka Olympic champion (1984 1988),0,9999
608,Ricardo dos Santos, surfer,0,9999
609,Jerome Van Sistine," politician, member of the Wisconsin State Senate (1977–1993)",0,9999
610,James Walker, television writer (Neighbours),0,9999
611,George Atkins, football player (Detroit Lions),0,9999
612,Patricia Berjak, botanist,0,9999
613,Marcus Borg, Biblical scholar and theologian (Jesus Seminar),0,9999
614,Leon Brittan, politician Home Secretary (1983–1985) Vice-President of the European Commission (1999),0,9999
615,Vince Camuto, footwear designer (Nine West),0,9999
616,Emmanuel Carter," politician, President of the Senate (1990–1995), acting President (1990) during the Jamaat al Muslimeen coup attempt",0,9999
617,Frieda Dänzer," Alpine skier, Olympic silver medalist (1956)",0,9999
618,George W. Downs, political scientist,0,9999
619,George Goodwin," journalist, Pulitzer Prize winner (1948)",0,9999
620,Harry Gordon," Olympic historian, journalist and newspaper editor",0,9999
621,Martin Honeysett, cartoonist,0,9999
622,Frank Hooley," politician, MP for Sheffield Heeley (1966–1970, 1974–1983)",0,9999
623,Waldemar Kmentt, operatic tenor,0,9999
624,Roy Noble Lee," judge, Chief Justice of the Supreme Court of Mississippi (1987–1993)",0,9999
625,Johnnie Lewis," lawyer and politician, Chief Justice (2006–2012)",0,9999
626,Kemal Monteno, singer-songwriter,0,9999
627,Keith Rayner, cognitive psychologist,0,9999
628,Marshall Schlom, script supervisor (Psycho Perry Mason Rain Man),0,9999
629,Chin Shunshin, author,0,9999
630,Pauline Yates, actress (The Fall and Rise of Reginald Perrin),0,9999
631,Don Bryant, baseball player (Houston Astros),0,9999
632,Peggy Charren, children's television activist,0,9999
633,Wendell H. Ford, politician Governor of Kentucky (1971–1974) member of the U.S. Senate (1974–1999),0,9999
